,City,State,Country,Latitude,Longitude,discount,New_price
0,Basildon,England,United Kingdom,51.5,-1.1166667,0.5,600.0
1,Parkville                   ,MO,United States,39.195,-94.68194,0.5,600.0
2,Astoria                     ,OR,United States,46.18806,-123.83,0.5,600.0
3,Echuca,Victoria,Australia,-36.1333333,144.75,0.5,600.0
4,Cahaba Heights              ,AL,United States,33.520559999999996,-86.8025,0.5,1800.0
5,Mickleton                   ,NJ,United States,39.79,-75.23806,0.5,600.0
6,Peoria                      ,IL,United States,40.69361,-89.58889,0.5,600.0
7,Martin                      ,TN,United States,36.34333,-88.85028,0.5,600.0
8,Tel Aviv,Tel Aviv,Israel,32.0666667,34.7666667,0.5,600.0
9,Chatou,Ile-de-France,France,48.8833333,2.15,0.5,600.0
10,New York                    ,NY,United States,40.71417,-74.00639,0.5,600.0
11,Eindhoven,Noord-Brabant,Netherlands,51.45,5.4666667,0.5,600.0
12,Shavano Park                ,TX,United States,29.423890000000004,-98.49333,0.5,600.0
13,Eagle                       ,ID,United States,43.69556,-116.35306000000001,0.5,600.0
14,Riverside                   ,NJ,United States,40.03222,-74.95778,0.5,600.0
15,Julianstown,Meath,Ireland,53.67722220000001,-6.3191667,0.5,600.0
16,Ottawa,Ontario,Canada,45.4166667,-75.7,0.5,600.0
17,Hyderabad,Andhra Pradesh,India,17.3833333,78.4666667,0.5,600.0
18,London,England,United Kingdom,51.52721,0.14559,0.5,1800.0
19,Salt Lake City              ,UT,United States,40.76083,-111.89028,0.5,600.0
20,Manchester,England,United Kingdom,53.5,-2.2166667,0.5,600.0
21,Ballynora,Cork,Ireland,51.8630556,-8.58,0.5,600.0
22,Roodepoort,Gauteng,South Africa,-26.1666667,27.866666700000003,0.5,600.0
23,Chula Vista                 ,CA,United States,32.64,-117.08333,0.5,600.0
24,Kuopio,Ita-Suomen Laani,Finland,62.9,27.683333299999997,0.5,600.0
25,Sugar Land                  ,TX,United States,29.61944,-95.63472,0.5,600.0
26,New York                    ,NY,United States,40.71417,-74.00639,0.5,600.0
27,London,England,United Kingdom,51.52721,0.14559,0.5,600.0
28,Morton                      ,IL,United States,40.61278,-89.45917,0.5,600.0
29,Los Gatos                   ,CA,United States,37.22667,-121.97361000000001,0.5,600.0
30,New York                    ,NY,United States,40.71417,-74.00639,0.5,600.0
31,Miami                       ,FL,United States,25.773889999999998,-80.19389,0.5,600.0
32,Vesenaz,Geneve,Switzerland,46.2333333,6.2,0.5,600.0
33,Brooklyn                    ,NY,United States,40.65,-73.95,0.5,600.0
34,Badhoevedorp,Noord-Holland,Netherlands,52.3333333,4.7833333,0.5,600.0
35,Reston                      ,VA,United States,38.96861,-77.34139,0.5,600.0
36,Burpengary,Queensland,Australia,-27.1666667,152.95,0.5,1800.0
37,Phoenix                     ,AZ,United States,33.44833,-112.07333,0.5,600.0
38,Houston                     ,TX,United States,29.76306,-95.36306,0.5,600.0
39,Pittsfield                  ,VT,United States,43.772220000000004,-72.81333000000001,0.5,1800.0
40,Pittsfield                  ,VT,United States,43.772220000000004,-72.81333000000001,0.5,1800.0
41,Ball Ground                 ,GA,United States,34.33806,-84.37666999999999,0.5,600.0
42,Helsingor,Frederiksborg,Denmark,56.033333299999995,12.616666699999998,0.5,600.0
43,Flossmoor                   ,IL,United States,41.54278,-87.68472,0.5,1800.0
44,Houston                     ,TX,United States,29.76306,-95.36306,0.5,600.0
45,Delray Beach                ,FL,United States,26.461109999999998,-80.07306,0.5,1800.0
46,Newbury,England,United Kingdom,51.4,-1.3166666999999999,0.5,600.0
47,Kobenhavn,Kobenhavn,Denmark,55.6666667,12.583333300000001,0.5,600.0
48,Sandy Springs               ,GA,United States,33.924170000000004,-84.37861,0.5,600.0
49,Kinsaley,Dublin,Ireland,53.424722200000005,-6.1758333,0.5,600.0
50,Fort Lauderdale             ,FL,United States,26.12194,-80.14361,0.5,600.0
51,Melbourne,Victoria,Australia,-37.8166667,144.9666667,0.5,600.0
52,Ankeny                      ,IA,United States,41.72972,-93.60556,0.5,600.0
53,Pittsboro                   ,NC,United States,35.72,-79.1775,0.5,600.0
54,New Rochelle                ,NY,United States,40.911390000000004,-73.78278,0.5,600.0
55,Gold Coast,Queensland,Australia,-28.0,153.43333330000002,0.5,600.0
56,Brussels,Brussels (Bruxelles),Belgium,50.8333333,4.3333333,0.5,600.0
57,Maple Ridge District Municipality,British Columbia,Canada,49.25,-122.5,0.5,600.0
58,Beachwood                   ,OH,United States,41.46444,-81.50889000000001,0.5,600.0
59,Prince Albert,Saskatchewan,Canada,53.2,-105.75,0.5,1800.0
60,Saltsjobaden,Stockholm,Sweden,59.283333299999995,18.3,0.5,600.0
61,Kemble,England,United Kingdom,51.6766667,-2.0180556,0.5,600.0
62,W Lebanon                   ,NH,United States,43.64917,-72.31083000000001,0.5,600.0
63,Headley,England,United Kingdom,51.1166667,-0.8166667,0.5,600.0
64,Lausanne,Vaud,Switzerland,46.533333299999995,6.6666667,0.5,1800.0
65,Southampton,England,United Kingdom,50.9,-1.4,0.5,600.0
66,Woodsboro                   ,MD,United States,39.53306,-77.315,0.5,600.0
67,Stavanger,Rogaland,Norway,58.966666700000005,5.75,0.5,600.0
68,Red Deer,Alberta,Canada,52.2666667,-113.8,0.5,600.0
69,Memphis                     ,TN,United States,35.149440000000006,-90.04889,0.5,600.0
70,Morges,Vaud,Switzerland,46.5166667,6.5,0.5,600.0
71,Calgary,Alberta,Canada,51.0833333,-114.08333329999999,0.5,600.0
72,Belleville,Ontario,Canada,44.1666667,-77.3833333,0.5,600.0
73,Cincinnati                  ,OH,United States,39.16194,-84.45694,0.5,600.0
74,Comox,British Columbia,Canada,49.6833333,-124.93333329999999,0.5,600.0
75,Gasperich,Luxembourg,Luxembourg,49.585555600000006,6.1230556,0.5,600.0
76,Helens Bay,Northern Ireland,United Kingdom,54.65,-5.7333333,0.5,600.0
77,Milan,Lombardy,Italy,45.466666700000005,9.2,0.5,600.0
78,Staten Island               ,NY,United States,40.63667,-74.15916999999999,0.5,600.0
79,Oslo,Oslo,Norway,59.9166667,10.75,0.5,600.0
80,Farmington,Michigan,United States,42.46444,-83.37639,0.5,600.0
81,Santa Monica                ,CA,United States,34.01944,-118.49028,0.5,600.0
82,Calgary,Alberta,Canada,51.0833333,-114.08333329999999,0.5,600.0
83,Vancouver,British Columbia,Canada,49.25,-123.13333329999999,0.5,600.0
84,Irvine                      ,CA,United States,33.66944,-117.82222,0.5,1800.0
85,Telgte,Nordrhein-Westfalen,Germany,52.3333333,7.9,0.5,1800.0
86,Cheltenham,England,United Kingdom,51.9,-2.0833333,0.5,600.0
87,Keller                      ,VA,United States,37.619170000000004,-75.76417,0.5,600.0
88,Nakskov,Storstrom,Denmark,54.8333333,11.15,0.5,600.0
89,Honolulu                    ,HI,United States,21.30694,-157.85833,0.5,600.0
90,Bubuieci,Chisinau,Moldova,46.985,28.9425,0.5,600.0
91,Amelia Island               ,FL,United States,30.66944,-81.46278000000001,0.5,600.0
92,Alliston,Ontario,Canada,44.15,-79.8666667,0.5,600.0
93,La Alberca,Murcia,Spain,37.9333333,-1.1333333,0.5,600.0
94,Rathgar,Dublin,Ireland,53.31222220000001,-6.2683333,0.5,600.0
95,Coral Gables                ,FL,United States,25.72111,-80.26861,0.5,600.0
96,Miami                       ,FL,United States,25.773889999999998,-80.19389,0.5,600.0
97,Vancouver,British Columbia,Canada,49.25,-123.13333329999999,0.5,600.0
98,Jumeira,Dubayy,United Arab Emirates,25.209722199999998,55.247777799999994,0.5,600.0
99,Englewood                   ,CO,United States,39.64778,-104.98722,0.5,600.0
100,Bournemouth,England,United Kingdom,50.716666700000005,-1.8833332999999999,0.5,600.0
101,Genoa                       ,IL,United States,42.09722,-88.69278,0.5,600.0
102,Al 'Adliyah,Al Manamah,Bahrain,26.217222200000002,50.540555600000005,0.5,600.0
103,Rouen,Upper Normandy,France,49.4333333,1.0833333,0.5,600.0
104,Parkland                    ,FL,United States,26.309720000000002,-80.2375,0.5,600.0
105,San Francisco               ,CA,United States,37.775,-122.41833000000001,0.5,600.0
106,Keller                      ,VA,United States,37.619170000000004,-75.76417,0.5,600.0
107,Tsawwassen,British Columbia,Canada,49.0166667,-123.08333329999999,0.5,600.0
108,Clinton                     ,NJ,United States,40.63667,-74.91028,0.5,600.0
109,Owensboro                   ,KY,United States,37.77417,-87.11333,0.5,600.0
110,Lakewood Village            ,TX,United States,33.1425,-96.96916999999999,0.5,600.0
111,Okotoks,Alberta,Canada,50.716666700000005,-113.96666670000002,0.5,600.0
112,Glimmen,Groningen,Netherlands,53.1333333,6.633333299999999,0.5,600.0
113,Calgary,Alberta,Canada,51.0833333,-114.08333329999999,0.5,600.0
114,Kanata,Ontario,Canada,45.3333333,-75.9,0.5,600.0
115,Bergen,Nordrhein-Westfalen,Germany,51.716666700000005,6.5,0.5,600.0
116,College Park                ,MD,United States,38.98056,-76.93722,0.5,600.0
117,Kailua Kona                 ,HI,United States,19.7349,-155.9003,0.5,600.0
118,Redondo Beach               ,CA,United States,33.84917,-118.3875,0.5,600.0
119,Fountain Hls                ,AZ,United States,33.611670000000004,-111.71667,0.5,600.0
120,Brisbane,Queensland,Australia,-27.5,153.0166667,0.5,600.0
121,Mahopac                     ,NY,United States,41.37222,-73.73389,0.5,1050.0
122,Ile-Perrot,Quebec,Canada,45.4,-73.9333333,0.5,600.0
123,Bruxelles,Brussels (Bruxelles),Belgium,50.8333333,4.3333333,0.5,600.0
124,Chicago                     ,IL,United States,41.85,-87.65,0.5,600.0
125,Rayford                     ,TX,United States,30.079720000000002,-95.41694,0.5,600.0
126,Escondido                   ,CA,United States,33.119170000000004,-117.08556000000002,0.5,600.0
127,Tesvikiye,Istanbul,Turkey,40.6166667,29.066666700000003,0.5,600.0
128,Centurion,Gauteng,South Africa,-25.874444399999998,28.170555600000004,0.5,600.0
129,York,England,United Kingdom,53.966666700000005,-1.0833333,0.5,600.0
130,Ashburn                     ,VA,United States,39.04361,-77.48778,0.5,600.0
131,Los Angeles                 ,CA,United States,34.05222,-118.24278000000001,0.5,600.0
132,Edgewood                    ,WA,United States,47.25028,-122.2925,0.5,600.0
133,New York                    ,NY,United States,40.71417,-74.00639,0.5,600.0
